A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
P.S. TRAVEL|||||28, Veikou Avenue & 2, Messinias corner, 111 47 Galatsi Tel (211) 7055400-402, Fax (211) 7055403 Owners: Stavros-Stylianos Plastiras Co. Inc., Manager: Stylianos Plastiras Web site: www.pstravel.gr e-mail: info@pstravel.gr
PTA TOURISM & TRAVEL AGENCY see AEGINA ISLAND|||||Incentives, Tours, Buses, Cruises, Yachts, Hotels 25, P. Kappou Street, Aegina Town, Aegina Island, 180 10 Greece Tel +30 22970 24063, Fax +30 22970 24053 Email ptatours@otenet.gr www.ptatours.gr    
PYRAMIS INTERNATIONAL|||||23-25, Ermou Street, 105 63 Athens Tel (210) 3272200, Fax (210) 3232527, 3221914, 3220703 Owner: C. & G. Anthopoulos, General Manager: Costas Anthopoulos Deputy General Manager: George Anthopoulos E-mail: info@pyramistravel.com Web site: www.pyramistravel.com Member of: IATA (code 27-2 0078), HATTA, GUATA On line with: Galileo Branch offices: 6, Vass. Katraki Sq., 166 75 Glyfada, Tel (210) 8949919, Fax (210) 8949976 40, Mitropoleos & Karolou Diehl, 546 24 Thessaloniki Tel (2310) 288367, Fax (2310) 288423
QUO VADIS|||||22, Filellinon St., 105 57 Athens Tel (210) 3232415, 3232361, Fax (210) 3224847 Owner: F. Kotsovoulos-Taxidia, Manager: Mrs Sofia Nanou Member of: HATTA, GDS: Amadeus 
RAN TOURS|||||18, Herodotou Street, 106 74 Athens Tel (210) 7233307, 7237975, Fax (210) 7250708 Manager: Ms Ourania Kassimati 
RCI TRAVEL|||||10, D. Psarrou Street, 151 25 Polydroso Amarousiou Tel (210) 8113888, Fax (210) 6895040 Owner: RCI Hellas S.A., General Manager: Dimitris Manikis Member of: IATA (code 27-2 9573), HATTA. GDS: Galileo 
RELBIS TRAVEL|||||36, Voulis Street, 105 57 Athens Tel (210) 3210322, 3235125, Fax (210) 3210322 Owners: G. Grigoriadis & Ms E. Fotiadou Co. Inc Manager: George Grigoriadis 
RENAISSANCE HELLAS S.A.|||||16, Ermou Street, 105 63 Athens Tel (210) 3248284 (6 lines), Fax (210) 3245671 VAT 094501236, FAEE ATHENS Owner: Renaissance Hellas S.A. Managing Director: Nikos I. Georgakopoulos Member of: HATTA, ASTA, COTAL E-mail: info@renaissancehellas.com 
RHAPSODY TRAVEL|||||103, Amfitheas Avenue, 175 63 P. Faliro Tel (210) 9242608, Fax (210) 9210997 Reg Co: Rhapsody Travel AXETE, VAT 099365710 (FAEE Athens) Owner: Ioannis Siokas, Athens office Manager: Theo D. Dimas, Manager Cruise Dept.: Chris Kavakiotis Branch Offices: Mykonos, Heraklion, Manager: Odysseas Zografakis E-mail: info@rhapsody.gr, Web-site:  www.rhapsodytravel.gr Member of: HATTA, IATA (code 27-2 1115), WATA GDS: Galileo 
RIGEL TRAVEL SERVICES|||||5, Stadiou Street, 105 62 Athens Tel (210) 3314580, 3314581, Fax (210) 3314582 Owner/Manager Ms Aphrodite Mikelatou Member of: HATTA, GDS: Sabre
RIKA TRAVEL|||||3, Filellinon Street, 105 57 Athens, Tel 3250170, Fax (210) 3218163 Owner/Manager: Ms Rika Michailidou Member of: HATTA, GDS: Galileo 
RON TRAVEL|||||101, Alexandras Avenue, 114 75 Athens Tel (210) 6429242, Fax (210) 6426618 E-mail: ron@techlink.gr 
ROUTES TRAVEL|||||13, Averof Street, 104 33 Athens, Tel 2108230888, Fax 2108230848 Manager: Nikolaos Nikolakopoulos Member of: HATTA 
SALINA TRAVEL Ltd|||||30, Nikis St., 1st floor, 105 57 Athens, Tel (210) 3242673, Fax (210) 3223336 Owner: Salina Travel Ltd, Manager: S. Salamanos Member of: IATA (code 27-2 0696) GDS: Pars, Galileo
SALTA TOURS|||||Tel (210) 6438029, 6411057, Fax (210) 6411057 Visit address: 74, Alexandras Avenue, 114 73 Athens Owners/Managers: J. Markou, Ms B. J. Hostmark Member of: HATTA 
SANDY TOURS|||||21, Diligianni Street, 104 37 Athens Tel (210) 5200141-2, Fax (210) 5200143, Tlx 210604 Owners/Managers: George Theofanakis, Evi Theofanakis Member of: HATTA 
SANTA IRINI TRAVEL|||||Branch office: 22, G. Papandreou Street, 164 51 Argyroupoli Tel (210) 9948910-12,  Fax (210) 9951009 Member of: IATA (code 27-0 0608), HATTA GDS: Galileo, Sabre 
SANTINO TRAVEL|||||Head Office: 7, Dragatsaniou St., 153 43 Ag. Paraskevi, Tel (210) 6008367, Fax (210) 6008237 Owner/Manager: Charalambos N. Mainas Member of: IATA (code 27-0 0223), HATTA Branch Office: 460, Mesoghion Avenue & 1, Paradisou Street, 153 42 Ag. Paraskevi Tel (210) 6084984, Fax (210) 6084711 Member of: IATA (code 27-0 0708), HATTA, GDS: Sabre
SCAPE TRAVEL & TOURISM SERVICES Ltd|||||23-25, Lekka street, 105 62 Syntagma Square, Athens Tel (210) 3230160-2, Fax (210) 3230163, Customer Services: George Tsochas Member of HATTA 
SCOUTWAY|||||1, Ptolemeon St., 116 35 Athens Tel 2107299111, Fax 2107299115 Manager: Konstantinos Papazachariou Member of: HATTA, SETE
SEAVILIZATION|||||7, Stadiou Street, 105 62 Athens Tel (210) 3227688, Fax (210) 3227687 Manager: Despina Papadima Member of: HATTA 
SEMIRAMIS TRAVEL|||||120, Vouliagmenis Avenue & 54-56, Melandias, 117 44 Athens Tel (210) 9029572, Fax (210) 9011211 Owner:I. Dourou Co. Member of: HATTA GDS: Worldspan
SERETIS TRAVEL|||||61, Panepistimiou Street, 105 64 Athens Tel (210) 3241776, Fax (210) 3251367 Member of: HATTA, GDS: Amadeus 
SEYCHELLES TRAVEL|||||Char. Trikoupi & 2, Pendelis Street, 146 71 Nea Erythrea Tel (210)  6202458, 6202359, Fax (210) 8077798 Owner: Frangou Bros Co., Managers: D. Frangos, A. Frangos Member of: HATTA, GDS: Sabre 
SIAMOS TOURS|||||10, Kodrigtonos Street, 112 57 Athens Tel (210) 8219900, Fax (210) 8219906 Owner/Manager: V. Siamos
SIGNATURE TRAVEL|||||26-28, Metropoleos Street, 105 63  Athens (near Plaka) Tel (210) 3245620 (10 lines), Fax (210) 3245508, VAT 095606763, D’ Athens E-mail: info@signature.gr Web site: www.signature.gr Owners: Mrs Maria & Peter Alifragis Other offices SIGNATURE TOURS: 39, Metaxa Street, Glyfada, Tel (210) 8980033, Fax (210) 8980295, Manager: Mrs M. Alifrangis 
SILVA TRAVEL|||||57, Paridos Street, 131 22 Ilion Tel (210) 2691186, 2622706, Fax (210) 2622707 Owner/Manager Ms Athanassia Nikolakopoulou Member of: HATTA, IATA (code 27-0 0262) GDS: Sabre
SILVER STARS TRAVEL|||||65, Panepistimiou Street, 105 64 Athens Tel (210) 8219783, Fax (210) 8222225 Owner/Manager: E. Leonidakou Member of: POET
SINANIS TOURS|||||7-9, Sofokleous Street, 105 59 Athens Tel (210) 3253131 Owner: M. Sinanis General Ent., Manager: M. Sinanis e-mail: sinanis1@otenet.gr 
SIVA TRAVEL|||||7, Ravine Street, 115 21 Athens Tel (210) 7291066-7, Fax (210) 7246279 Owner: S. Spyromilios, Manager: E. Spyridakis Member of: GITO, HATTA, IATA (code 27-2 1056) 
SKYBEAT TRAVEL CONSULTANTS|||||2A Elafidon Street, Keramikos, 118 54 Athens Tel (210) 3225565, Fax (211) 2686859 Manager: Konstantinos Tsoukalos Member of: HATTA
SKYLINES – EUROSKI CLUB Ltd.|||||60, Amaroussiou – Halandriou Ave., 151 25 Paradisos Amaroussiou Tel (210) 6777779, (210) 6855555, Fax (210) 6729200 Owner: Skylines-Euroski Club Ltd., Managing Director: Ap. Karaphilis, Skylines Studies : Ms Eleonora Karaphili Sls Manager: Ms Katerina Klimatsaki, Accounts Dept.: Ms Chrysoula Roussou Branch office in: Sofia Member of: IATA (code 27-2 1043), HATTA GDS: Amadeus
SLAVA TOURS|||||17, Voulis Street, 105 57 Athens, Tel (210) 3218648, 3230417, 3226694, Fax (210) 3218668
SMILES HOLIDAYS CLUB|||||10D, Othonos Street, 105 57 Athens Tel (210) 3239039, Fax (210) 3216021 Owner: Smiles Holidays Club, Vat Reg No: 999367977, DOY: D’ Athens Manager: Emmanouil Fas Member of: HATTA 
SOLNET HELLAS TRAVEL|||||165, Vouliagmenis Ave, 172 37 Athens Tel (210) 9014555, Fax (210) 9014544 Manager: Stavros Malamas Member of: HATTA
SOMACO TOURS|||||49, M. Botsari Street, 117 42 Athens Tel (210) 9220604, Fax (210) 9202629 Manager: Mattheos Maisis 
SOMEWHERE WE KNOW|||||100, Asklipiou Street, 114 71 Athens, Greece Tel: +30 211 4113224 Email: info@somewhereweknow.com 
SONNEN TOURS & CRUISES|||||7, Kar. Servias Street, 105 63 Athens Tel (210) 3228532, Fax (210) 3251705 Owner/Manager: D. Dakas Member of: HATTA, RDA 
SOTIRELIS TRAVEL|||||27, Eleon Street, 145 64 N. Kifissia Tel (210) 6200431,  Fax (210) 8071164 Owner: Sotirelis Travel, Vat Reg No: 055479253, DOY: Kifisias Manager: Sotirelis Vasilios Member of: IATA (code 27-2 0092), MB CLUB. GR GDS: Galileo 
SOTIRIOU TRAVEL|||||25, 3rd September Street, 104 32 Athens Tel (210) 5233804, 5237845, Fax (210) 5234943, Owner/Manager: Sotiriou Paulos Member of: HATTA, UFTAA, GDS: Galileo
SOULIOTIS TRAVEL|||||128, Patission Street, 112 57 Athens Tel (210) 8250163, 8812630, 8815832, 8842020, Fax (210) 8252666 Owner/Manager: Kostas Souliotis GDS: Galileo
SPECIAL TOURS|||||Head office: 10, Fokionos & Ermou Sts, 2nd floor, 105 63 Syntagma, Tel (210) 3277200, +30 210 3238349, 3314567, 3310425 Κινητό: +30 6944-418532 E-mail:special@stglobe.com, Web site: www.stglobe.com Owner: Special Tours Wholesalers, London, UK Member of: HATTA, ETOA, IATA
SPICE WORLD TRAVEL|||||4, Lampsakou Street, 171 21 N. Smyrni Tel (210) 9407250, Fax (210) 9407251 Manager: Christos Gikas Member of: HATTA 
STARLITE TRAVEL|||||32, Vas. Amalias Avenue, 105 58 Athens Tel. 210 9215080 Fax 210 9215720 E-Mail: info@starlite.ondsl.gr Managing Directors: Panagiotis Chatzinas & Vasileios Vlachakis Member of IATA (code 27-2-5678), HATTA 
STARSHIP TRAVEL|||||10, M.Botsari Street, 163 42 Helioupolis, Athens Tel (210) 9951971-2, Fax (210) 9951971 Owner/Manager: Evangelos Mandilas Member of: IATA (code 27-0 0553)
STATION TRAVEL|||||85, Ippokratous Street, 106 80 Athens, Tel (210) 3646643-4, Fax (210) 3646643 Owner/Manager: D. Kotzaostopoulos 
STEFANAKIS G. S.A.|||||133, Platonos Street, 176 73 Kallithea Tel (210) 9425139, 9425303, Fax (210) 9430757 Owner: G. Stefanakis, Manager: Mrs Chr. Stefanaki 
STUDY TOURS – TRAVELSCENE|||||7, 28th October Street, 151 24 Marousi Tel (210) 6120616, Fax (210) 6141781 Manager: Nikolaos Mantouvalos Member of: HATTA
SUMMIT EXPLORING|||||36-38, Syngrou Avenue, 117 42 Athens Tel (210) 9211020, Fax (210) 9211021 Manager: Konstantinos Tsoulkas Member of: HATTA 
SUNDAY TOURS|||||17, Halkidonos Street, 115 27 Ambelokipi, Tel (210) 7483353, Fax (210) 7483257 Owner: Ms Kyriaki Papadaki, Manager: Grigorios Melikokis Member of: HATTA GDS: Sabre
SUNHELLAS TRAVEL & TOURISM|||||4, Michalakopoulou Street, 115 28 Athens Tel (210) 9232081, Fax (210) 9247168 Owner: Sunhellas Travel Ltd., Manager: L. Vamvakaris Member of: ASTA, HATTA
SUNNY GREECE TRAVEL & TOURISM|||||36-38, Syngrou Avenue, 117 42 Athens Tel (210) 9221711, 9237100, Fax (210) 9238577 Owner/Manager: Dimitris Vais, Member of: HATTA, IATA (code 27-0 0277) 
SUNQUEST TOURS|||||5, Stadiou Street, 105 62 Athens, Tel (210) 3220165, Fax (210) 3238209 Owner: Gerasimos Theodosis Member of: HATTA 
SUPERIOR TRAVEL|||||8, Ermou St., 105 63 Athens Tel (210) 3311541, Fax (210) 3311545 Owner: Evangelos Bivolariskk, Manager: Georgiadis Member of: HATTA 
SYMBOL INTERNATIONAL TRAVEL AND TOUR OPERATORS Ltd|||||36, Voukourestiou Street, 106 73 Athens Tel (210) 3608143, 3608144, Fax (210) 3603549 Owner: George Karitsos Member of: IATA (code 27-0 0011),  ASTA, UFTAA, GDS: Galileo 
SYNEDRIO-TRAVELNET|||||14, Sina & Academias Streets, 106 72 Athens, Tel (210) 3606735, Fax (210) 3606738 Member of: IATA (code 27-2 1088), HATTA
SYRIGOS TRAVEL|||||20, Nikis Street, 105 57 Athens, Tel (210) 3235500, 3223000, 3250200, Fax (210) 3221319, Owner/Manager: Loukas Syrigos Member of: HATTA 
TAG TRAVEL|||||50, Kyprou Street, 124 61 Haidari Tel (210) 5811119, Fax (210) 5821363 Owner: Tagli Bros, Manager: Marina Tagli   Member of: HATTA 
TAS TRAVEL Ltd|||||31-33, Voulis Street, 105 57 Athens Tel (210) 3215787, 3237564, Fax (210) 3231128 Owner/Manager Iordannis Grammatikopoulos Member of: HATTA 
TAXIDEVO GR|||||101, A. Papandreou Street, 152 32 Halandri Tel (210) 6800563, Fax (210) 6801528 Member of: IATA (code 27-0 0430)
TEMPI TRAVEL AGENCY|||||Branch office 64, Ermou Street, 105 51 Athens Tel (210) 3219362, 3219750, Fax (210) 3214705 Owner: Dim. Kanakis, Manager: Mrs Chr. Kanaki Head office in: Larissa , Member of: HATTA, IATA (code 27-2 1084) GDS: Amadeus 
TEMPO HOLIDAYS S.A.|||||67, Syngrou Avenue & 40, Zan Moreas Street, 117 41 Athens Tel (210) 9211999 (12 lines),  Fax (210) 9244034 Owner: Tempo Holidays S.A., President/Chief Executive Officer: Nick Argyropoulos Managing Director: John Kiritsakis 
TERRA SANTA TOURIST Ltd|||||3, Achilleos Street 175 62 P. Phaliro Tel (210) 9889415, Fax (210) 9889255 Owner: Terra Santa Tour. Co. Ltd, Manager: D. Ninos 
THE CONG TRAVEL SYSTEM|||||169, El.Venizelou Street, 176 73 Kallithea Tel (210) 9568495, Fax (210) 9582619 Owner/Manager: Thomas Markoulis Member of: IATA (code 27-0 0429), GDS: Amadeus 
THEMA TOURS|||||29, Valtetsiou Street, 106 81 Athens Tel (210) 3806248,  Fax (210) 3806204 Owner/Manager: Ms Eleni E. Papani Co.
THEMISTOKLES TOURIST TRANSPORT AGENCY|||||20, Nikis Street, 105 57 Athens, Tel (210) 3235251, Fax (210) 3235251 Owner/Manager: C. Papathomas 
THEOTOKIS TRAVEL Ltd|||||10, Eleftheroton Square, 152 32 Chalandri, Athens Tel (210) 6852892, Fax (210) 6846676 Owner: Theotokis Travel – Synedria Ltd., Manager: Mrs G. Iordanidou, Director: N. Iordanides Member of: IATA (code 27-2 6383), GDS:Sabre, Amadeus 
THIAMIS TOURS|||||199, Ippokratous Street, 114 72 Athens Tel (210) 6437192, 6444002, Fax (210) 6445627, Tlx 224429 Owner/Manager: M. Yiakis Member of: IATA (code 27-2 0185)
THISSEAS TRAVEL & TOURISM|||||12-14, Thiseos Street, 105 62 Athens Tel (210) 3247011-18, Fax (210) 3243453 Owner/Manager: Panagiotis Vafiadis Member of: IATA (code 27-2 1017), GDS: Galileo, Worldspan 
3S TRAVEL|||||3, Othonos St., 151 22 Athens, Tel (210) 6120386, Fax (210) 6120164 Owner: Elliniki Filoxenia A.T.E, Vat Reg No: 094241864, DOY: FAE ATHINON Manager: Nikos Papadimas Member of: HATTA
TIFYS TRAVEL|||||49, Makryianni Street, 183 44 Moschato, Tel (210) 9401310, Fax (210) 9401431, Manager: Stamatia Karnava Member of: HATTA,
TINA TRAVEL|||||7, Kar. Servias Street, 105 63 Athens, Tel (210) 3231362, 3225408, Fax (210) 3232835, VAT 018629443, D’ ATHENS Owner/Manager: George Harmouche Vat Reg No: 18629443, DOY: D’ ATHENS Member of: IATA (code 27-0 0402), HATTA GDS:Sabre
TOP GALLA TRAVEL|||||2, Pandoras Street, 111 46 Galatsi Tel (210) 2933889, Fax (210) 2134461 Manager: Maria Chatsapi Member of: IATA (code 27-0 0024) 
TOP KINISIS HELLAS|||||4, Apollonos Street, 105 57 Athens Tel (210) 3232501, Fax (210) 3232059 Owner: Top Kinisis Hellas Vat Reg No: 998350360, DOY: D’ ATHINON Manager: Georgios Agadakis 
TOP LEVEL TOURS LTD|||||9b Apollonos Street (near Syntagma Square), 105 57 Athens Tel (210) 3254541-5, Fax (210) 3226588, Tlx 219008 LEVT GR Owner: Top  Level Tours Ltd., General Director: Markos Vekris Incom. Dept.-Managing Directors: Ms Laura Loreti, Ms Dimitra Tsami Ticketing Dept.: Nikos Kassimis Member of: HATTA 
TOURALFA TRAVEL HOLIDAYS|||||5-7, Christou Lada Street, 105 61 Athens, Tel (210) 3225759, Fax (210) 3318381 Owner: Katsikopoulos – Bourboulis Co Vat Reg No: 081838655, DOY: D’ ATHINON Manager: George Bourboulis GDS: Amadeus 
TOUR CLUB TRAVELCARE|||||51, Pentelis Ave., 152 33 Halandri Tel (210) 6852922, Fax (210) 6848116 VAT 031137074, Halandriou Owner/Manager: Maria Psarianou Co. Member of: IATA (code 27-0 0557), HATTA, GDS: Galileo, Sabre
TOUR GREECE|||||80-88, Syngrou Ave., 117 41 Athens Tel (210) 9244345-9, Fax (210) 9244351 President: Vassilis Sakellaris, Operations Manager: Mrs Lea Coubena, Member of: GITO, HATTA, IATA (code 27-2 0203) 
TOURINVEST|||||330, Thisseos St., 176 75 Kallithea Tel (210) 9300580, Fax (210) 9430161 Owner: Tourinvest Ltd., Manager: Konst. Athanasiou Member of: HATTA 
TOURIST CLUB INTERNATIONAL|||||52, Omirou Street, 106 72 Athens, Tel (210) 3616031, 3622797, 3621419,  Fax (210) 3610834 VAT 095000661, D’ ATHENS, Owner: TCI Ltd., Manager: S. Postantzis Member of: HATTA 
TOUROLYMPIC|||||4, Filellinon Street, 105 57 Athens Tel (210) 3235605-6, Fax (210) 3241092 Owners  P. Kalfopoulos & Co Inc.,  Manager: P. Kalfopoulos Member of: HATTA, RDA, ORV, HCA, ASTA 
TOWER TRAVEL & TOURIST SERVICES Ltd|||||10, Monis Petraki Street, 115 21 Athens Tel (210) 7231715, 7247144, Fax (210) 7220220 Owners: V. Isaakidis Co. Member of: IATA (code 27-2 4071), HATTA, GDS: Galileo, Amadeus 
TRANS HELLENIC INTERNATIONAL Ltd|||||Trade Name Poulopatis Travel 17, Voulis Street, 105 57 Athens, Tel (210) 3253481, Fax (210) 3236677 Managing Director: Spanos Dimitrios Member of: IATA (code 27-2 0138), HATTA, GDS: Sabre 
TRANSEL LTD|||||132, Sygrou Ave., 176 71 Athens, Tel 2109219400, Fax 2109219777 Manager: Michalis Tsoukias Member of: HATTA 
TRAVEL ACTION|||||141, Char.Trikoupi Street, 146 71 N. Erythrea Tel (210) 6200800, Fax (210) 6200565 Owner/Manager Ms Anna Ambazi Member of: IATA (code 27-0 0741), GDS: Galileo 
TRAVEL BUDGET|||||11, Odysseos & Kolonou Street, 104 36 Athens Tel (210) 5200152, Fax (210) 5200154 Manager: Georgios Ioannou Member of: HATTA, ASTA 
TRAVEL CLUB Ltd|||||13A, Amfitritis Street, 175 61 P. Phaleron Tel (210) 9834419, 9834479, Fax (210) 9829742, Owner: Travel Club Ltd., Manager: K. B. Gedikoglou Member of: IATA (code 27-2 0135), GUATA/PETAGA, HATTA GDS: Sabre 
TRAVEL CONSULTANTS OF ATHENS Ltd|||||14, Xenofontos Street, 105 57 Athens Tel (210) 3221927, 3223617, Fax (210) 3236209 Owner/Manager: Demetris Constantinou Member of: HATTA 
TRAVEL CRAFT|||||8, Achilleos & 51 Mouson, 175 62 P. Faliro Tel (210) 9859900, Fax (210) 9859995 Manager: Georgios Liasidis Member of: HATTA 
TRAVEL DESIGNERS – YD TRAVEL DESIGNERS|||||6, Ermou Street, Suite 601, 105 63 Athens Tel (210) 3234032-4, Fax (210) 3234716 Owner/Manager: George Y. Alimonos Member of: HATTA 
TRAVEL DIRECTIONS|||||26, Amv. Frantzi St., 117 45 N. Kosmos Postal address: P.O. Box 19275, 117 10 Athens Tel (210) 9231980, Fax (210) 9240203, Owner/Manager: Panagiotis Kontopoulos Member of: HATTA 
TRAVEL 4FAIRS LTD|||||3, Kivelis & Perikleous Streets, 153 44 Gerakas Tel (210) 6090525, Fax (210) 6090527, Owner: Travel 4fairs Ltd, Vat Reg No: 998159890, DOY: FAE ATHINON Manager: Fotis Biris, Account Manager: Ms Eleni Harisiadi, E-mail: eleni@t4f.gr Member of: HATTA
TRAVEL IDEA|||||117, Academias Street, 106 71 Athens, Tel (210) 3610222, Fax: (210) 3620600 Owner: Travel Idea Ltd., Vat Reg No: 999368716, DOY: D’ ATHINON Member of: IATA (code 27-2 1235), HATTA Managing Director: A. Georgopoulos, Office & Sales Manager: Ilias Georgopoulos 
TRAVELJET|||||22, Voulis St., 105 63 Athens, Tel (210) 3249895, 3249896-7, Fax (210) 3249898 Owner/Manager: Athina Hatzigeorgiou Member of: HATTA 
TRAVEL MARKET|||||14, Voulis & Kar. Servias Sts, 105 63 Athens Tel (210) 3211428, 3211443, Fax (210) 3211283 Member of: IATA (code 27-2 1214) 
TRAVEL 1 ONE|||||36, Voulis Street, 105 57 Athens Tel (210) 3314094, 3314686, Fax (210) 3314239, VAT 095513964, E’ ATHENS Owner: Stoupis-Kretsis Ltd, Managing Director: Mike Stoupis Japanese Dept. Manager: A. Yoma Member of: HATTA E-mail: travel1one@travelling.gr Web site: http://www.travelling.gr/travel1one 
TRAVEL ORAMA & TOURS|||||15, Veranzerou Street, 106 77 Athens Tel (210) 3847901-4, Fax (210) 3847905 Owner/Manager: John Yannopoulos Member of: IATA (code 27-2 8413), HATTA 
TRAVEL OUTLET|||||6, Mihail Karaoli Street, 172 35 Dafni, Dafni Metro area Tel (210) 9595519, Fax (210) 9595019 Manager: Vassiliki Michaliou 
TRAVEL PLAN (Est. 1981)|||||Administration: 17, Vrana & Katechaki Streets, 115 25 Athens Telephone 210- 3333300   E-mail : info @travelplan.gr, Web site: www.travelplan.gr RegCo Eurostar S.A., VAT 094495077 (FAEE Athens) E.O.T. license : 0206 E610000885Y0 Member of: IATA (code 27-2 0083) , ASTA, HATTA, SETE, HAPCO and EFAPCO President Theodoros Bithas, CEO Giorgos Daskalakis CEO Assistant D. Rigatou Human Resources A. Laga, Public Relations, Sales & Marketing Mgr E. Messariti Internet Marketing Mgr A. Pekou, Outbound Tourism Mgr D. Sasson, Cruiseplan Mgr D.Galanou, Key Accounts P. Tatalia, Incentives & Special Tours L. Tsagdis, Corporate Accounts M. Xagorari, Domestic Tourism Supervisor R. Pouseou, Congress  & Events Supervisor A. Koulouri,   Operation/Reservations E. Karagianni, Groups Air Ticketing A. Patsis,   Rate Desk Supervisor G.Coutoulakis, Agency Network S. Petrogiannis Athens Sales Office: 3, Christou Lada Street, 105 61 Athens Telephone center 210 – 3333300, Fax 210-3333581 & 3333582 E-mail: info@travelplan.gr Manager  Mrs. A. Christidou Piraeus Sales Office: 153, Praxitelous str. & Sotiros Dios Street, 185 35 Piraeus Tel 210 3333360, Fax 210-4132814 E-mail: pireas@travelplan.gr Manager: Mrs Elena Zissi Ilissia Sales Office: 80, Michalakopoulou Street, 115 28 Athens Tel 210-3333330,  Fax 211-3333580 E-mail: ilissia@travelplan.gr Manager: Mr. S. Galiatsos Glyfada Sales Office: 33, A. Metaxa & Zissimopoulou Sts, 166 74 Glyfada Tel 210-3333370, Fax 210-3333299 E-mail: glyfada@travelplan.gr Manager: Mrs. E. Fournaraki Kifissia Sales Office: 236, Kifissias Avenue, 145 62 Kifissia Tel 210-3333390, Fax 210-3333237 E-mail: kifissia@travelplan.gr Manager: Mrs. Zoi Kontopoulou Maroussi Sales office: 41-43, Kifissias Ave., “Avenue” Shopping centre, 151 23 Maroussi Tel 210-3333340, Fax 210-6106706 Manager: Mrs. E. Zachariou Thessaloniki Sales Office: 85, Tsimiski Street, 546 22 Thessaloniki Tel (2310) 241660 (4 lines), Fax (2310) 241564 Manager: Mrs. V. Digbassani E-mail: salonica@travelplan.gr Member of: IATA (code 27-2 7879) Worldwide Tour Operators – All Travel & Tourism Arrangements – Incoming Tours & Services – Outgoing Tours & Services – Quality tailor made organized Individual & Group Travel  –  Air / Boat Ticketing  –  Business Travel  –  Incentives  –  Hotel Reservations  – Congress & Events  –  Cruises  –  Car Hire  – Preferred Agent of  “Club Med®” –  Official Distributors of “Disneyland Resort Paris®” – Preferred Agent of “Princess Cruises”, “Cunard”, “Silversea”, “Seabourn” & “Sea Cloud Cruises”. 
TRAVELPLANET24|||||4, Kar. Servias Street, 105 62 Athens, Syntagma Square Tel 2111079669, Fax (210) 7299664 Reservations Tel 14824 Owner/Manager: Philipp Brinkmann www.travelplanet24.com 
TRAVEL QUEST|||||429, Mesogion Avenue, 153 43 Ag. Paraskevi, Athens Tel 801-11-TRAVEL(872835), (210) 6084340, 6084341, Fax (210) 6084342 Travel Department Manager: Maximos Tzanos, Events/Congress Department Manager: Ms Maria Mega Human Resources/Administration Manager: Ms Ersi Mega Member of: IATA (code 27-0 0652) 
TRAVEL SITE|||||10, Veikou Avenue & 1, Lesvou Street, 111 47 Athens Tel  (210) 2139578, Fax (210) 2139577 Manager: Ms Fotini Vaiou Member of: HATTA 
TRAVEL SOCIETY|||||42, Ermou & 8 Ktena Street 105 63 Athens Tel (210) 3232444, Fax (210) 3232445 Manager: Marina Koumioti Member of: HATTA 
TRAVEL SPECIALISTS|||||1, Kountouriotou Street, 155 62 Holargos Tel (210) 6564780, Fax (210) 6564781 Owner/Manager: Ioannis Tsekouras Member of: IATA (code 27-0 0833), GDS: Sabre
TRAVEL STAR|||||18, Dodekanissou Street, 174 56 Alimos Tel (210) 9920119, Fax (210) 9962014 Owner/Manager: Claude Harcourt Member of: IATA (code 27-0 0035), HATTA 
TRAVELWAY TOURISM – SHIPPING|||||24, Iereos Dousi Street & 193, Kifissias Avenue, 151 24 Maroussi Tel (210) 8067079,  Fax (210) 8055865 Owner/Manager: Spyros Hambas Member of: HATTA 
TRAVEL WISE Ltd|||||7, Evangelistrias Street, 105 63 Athens Tel (210) 3235138, 3230575, Fax (210) 3243463, Owner/Manager: Angelos Tsioris Member of: HATTA GDS : Amadeus 
TRAVEL ZONE|||||377, Syngrou Avenue, 175 64 P. Faliro Tel (210) 9484185, Fax (210) 9484385 Manager: Ioanna Laini Member of: HATTA
TREKKING HELLAS|||||10, Rethymnou Street, 106 82 Athens, Tel (210) 3310323-6, Fax (210) 3234548 Owner: Lead S.A., Vat Reg No: 094496756, DOY: FAE ATHINON Manager: Michael Tsoukias Sales Manager: George Kopitsas Product Director: Ms Loukia Leonidou Member of: ATTA, HATTA Branch office in: Other 10 cities
TRIAENA TOURS & CONGRESS S.A.|||||206, Syngrou Avenue, 176 72 Kallitea Tel (210) 7499300, Fax (210) 7713795 Owner: Triaena Tours & Congress A.E. President: Dinos Astras, Vice President: Ms Maira Astra, Manager: Gabriel Diakakis Congress Director: Ms Mika Liarommati Director Corporate & Leisure Department: Kostas Floros Member of: HATTA, IATA (code 27-2 1062), ICCA, HAPCO Branch offices in:  Thessaloniki GDS: Amadeus, Sabre, Galileo 
TRIAENA TRAVEL|||||17, Vrana Street, 112 25 Athens Telephone center: 210 3333300, Fax 210 3333499 E-mail: triaena@triaenatravel.gr Reg. Co.: Eurostar S.A., Managing Director G. Daskalakis
TRIANDOS TRAVEL|||||61, Panepistimiou Street, 105 64 Athens Tel (210) 3242628, 3243362, Fax (210) 3250393 Owner/Manager: S. Triandos Member of: HATTA 
